name,origin-1,origin-2,origin-3,SAN-1,SAN-2,SAN-3,CCMOP-1,CCMOP-2,CCMOP-3,Avg-O,Avg-S,Avg-C
double-conversion,0.71,0.71,0.63,0.02,0.02,0.02,6.64,6.65,6.74,0.683333333,0.02,6.676666667
WebServer,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.34,15.3,15.3,15.3,15.31333333
backward-cpp,0.54,0.56,0.55,0.62,0.6,0.55,0.56,0.63,0.61,0.55,0.59,0.6
MyTinySTL,174,207.94,208.24,202.91,211.33,209.83,216.22,273.53,253.03,196.7266667,208.0233333,247.5933333
SQLiteCpp,0.06,0.06,0.07,0.1,0.09,0.14,0.06,0.06,0.07,0.063333333,0.11,0.063333333
jsoncpp,2.39,2.55,2.24,5.07,4.76,4.73,2.61,2.59,2.98,2.393333333,4.853333333,2.726666667
json,453.4,448.1,454.9,567.39,596.82,569.2,519.8,504.53,504.8,452.1333333,577.8033333,509.71
di-cpp14,68.8,60.3,53.56,81.75,69.11,70.38,60.12,76.64,78.97,60.88666667,73.74666667,71.91
muduo,68.14,63.16,59.45,81.79,83.31,77.67,63.38,74.18,68.47,63.58333333,80.92333333,68.67666667
libzmq,143.78,142.26,143.65,147.09,148.48,149.39,143.23,142.56,146.27,143.23,148.32,144.02
magic_enum,0.05,0.05,0.05,0.13,0.15,0.13,0.06,0.07,0.05,0.05,0.136666667,0.06
FasTC,0.11,0.11,0.11,0.22,0.21,0.21,0.48,0.46,0.44,0.11,0.213333333,0.46
googletest,2.18,2.2,2.32,2.05,1.98,2.1,2.06,2,2.39,2.233333333,2.043333333,2.15
yaml-cpp,0.23,0.22,0.21,0.7,0.67,0.66,0.33,0.34,0.35,0.22,0.676666667,0.34
spdlog-1.x,5.18,5.17,5.13,5.01,4.99,5.05,5.03,4.99,5.08,5.16,5.016666667,5.033333333
coost,0.06,0.06,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
bloaty,0,0,0,0.01,0.01,0.02,0,0,0,0,0.013333333,0
flameshot,0.6,0.59,0.6,0.75,0.74,0.75,0.75,0.6,0.56,0.596666667,0.746666667,0.636666667
glog,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
re2,1.18,1.16,1.15,1.85,2.2,1.96,4.17,3.18,2.88,1.163333333,2.003333333,3.41
sqlpp11,0,0,0,0,0,0,0,0,0,0,0,0
PROJ,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.01
rapidjson,0.62,0.6,0.64,2.03,1.96,1.95,3.53,2.67,2.65,0.62,1.98,2.95
capnproto,20.69,23.63,20.37,0.03,0.03,0.03,19.4,20.07,19.02,21.56333333,0.03,19.49666667
